Order_No,Time from Pickup To arrival
Order_No_19248,1331.4691848375733
Order_No_12736,1390.5746535875733
Order_No_768,934.6879348375733
Order_No_15332,1117.8773879625733
Order_No_21373,1103.0219192125733
Order_No_14573,2155.9841643749096
Order_No_6731,2109.2546721874096
Order_No_18436,1362.6713332750733
Order_No_2288,1659.3207473375733
Order_No_9063,2180.4262160875733
Order_No_4814,1003.0131301500733
Order_No_16747,2567.8685989000733
Order_No_6376,1412.9027785875733
Order_No_1199,1489.9496535875733
Order_No_17119,1413.1676711656983
Order_No_14832,1246.5376311717846
Order_No_12321,1011.6195754625733
Order_No_24820,1827.1970549999096
Order_No_6065,1414.7816848375733
Order_No_13176,856.4066848375733
Order_No_23557,917.7693206249096
Order_No_20488,1953.0111770250733
Order_No_24214,1252.5111770250733
Order_No_21206,1176.7834548571045
Order_No_1930,728.5815810778076
Order_No_28180,2054.0368987499096
Order_No_13329,823.1801223375733
Order_No_19004,1105.8617629625733
Order_No_27510,1950.3988723375733
Order_No_25394,1459.5275954821045
Order_No_11299,2756.8539504625733
Order_No_21269,1511.4144973375733
Order_No_3565,2935.4594192125733
Order_No_6473,1256.7836379625733
Order_No_6258,482.7514419176514
Order_No_27480,1769.2221145250733
Order_No_23302,1914.7035598375733
Order_No_16731,1674.7844924547608
Order_No_21353,1784.3598098375733
Order_No_10610,1267.1019973375733
Order_No_5930,1611.5447112499096
Order_No_5171,1903.8363723375733
Order_No_21590,1626.6566848375733
Order_No_643,1380.8493987499096
Order_No_6308,1299.0883254625733
Order_No_16885,1778.1845168688233
Order_No_5421,1717.3493987499096
Order_No_21864,2559.3676223375733
Order_No_11618,1388.8923674999096
Order_No_27514,2348.3402785875733
Order_No_26356,1694.9457473375733
Order_No_20174,1352.0785598375733
Order_No_23193,2705.1801223375733
Order_No_17568,896.1781692125733
Order_No_25549,1691.0603362499096
Order_No_23942,1378.6137160875733
Order_No_25817,1511.2504348375733
Order_No_16582,2721.7348098375733
Order_No_25259,2493.1736174999096
Order_No_7311,1193.0316848375733
Order_No_6198,1518.5193206249096
Order_No_18810,847.2777785875733
Order_No_26162,1163.1830520250733
Order_No_4192,1341.5307082750733
Order_No_28224,1295.9978362499096
Order_No_15612,869.1137160875733
Order_No_21556,1926.8187942125733
Order_No_15698,1490.376106224292
Order_No_2619,1941.8637160875733
Order_No_10710,1506.5668410875733
Order_No_17906,1024.2380706249096
Order_No_24831,1452.7504348375733
Order_No_15312,2803.6723098375733
Order_No_17599,1414.1410598375733
Order_No_8759,776.3778762438233
Order_No_18102,1825.4301223375733
Order_No_19596,2241.6723098375733
Order_No_18174,1299.8884612499096
Order_No_18641,2674.3207473375733
Order_No_7568,927.7797317125733
Order_No_23561,1634.5160598375733
Order_No_21212,840.0238723375733
Order_No_19352,2327.3104934313233
Order_No_13038,2005.1527785875733
Order_No_14688,1726.7634612499096
Order_No_5155,1223.4477004625733
Order_No_26963,1322.6019973375733
Order_No_25662,2358.1801223375733
